date,season,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,outcome
2023-04-23 21:00:00+00:00,2023,Estudiantes L.P.,Talleres Cordoba,450,456,1,0,2
2023-04-23 23:30:00+00:00,2023,River Plate,Independiente,435,453,2,0,2
2023-04-24 18:30:00+00:00,2023,Barracas Central,Defensa Y Justicia,2432,442,0,2,0
2023-04-24 22:00:00+00:00,2023,Racing Club,Atletico Tucuman,436,455,1,3,0
2023-04-25 00:30:00+00:00,2023,Argentinos JRS,Gimnasia L.P.,458,434,2,4,0
2023-04-25 22:30:00+00:00,2023,Tigre,Huracan,452,445,1,0,2
2023-04-27 23:00:00+00:00,2023,Sarmiento Junin,Godoy Cruz,474,439,1,1,1
2023-04-27 23:00:00+00:00,2023,Platense,Estudiantes L.P.,1064,450,1,2,0
2023-04-28 22:00:00+00:00,2023,Huracan,Arsenal Sarandi,445,459,2,1,2
2023-04-28 22:00:00+00:00,2023,Newells Old Boys,Argentinos JRS,457,458,0,0,1
2023-04-29 00:30:00+00:00,2023,Atletico Tucuman,River Plate,455,435,1,1,1
2023-04-29 17:00:00+00:00,2023,Velez Sarsfield,San Lorenzo,438,460,0,0,1
2023-04-29 19:30:00+00:00,2023,Gimnasia L.P.,Tigre,434,452,1,1,1
2023-04-29 22:00:00+00:00,2023,Banfield,Barracas Central,449,2432,0,0,1
2023-04-29 22:00:00+00:00,2023,Instituto Cordoba,Central Cordoba de Santiago,478,1065,0,2,0
2023-04-30 00:30:00+00:00,2023,Boca Juniors,Racing Club,451,436,3,1,2
2023-04-30 18:30:00+00:00,2023,Defensa Y Justicia,Colon Santa Fe,442,448,2,0,2
2023-04-30 21:00:00+00:00,2023,Independiente,Belgrano Cordoba,453,440,2,0,2
2023-04-30 23:30:00+00:00,2023,Talleres Cordoba,Rosario Central,456,437,3,1,2
2023-05-05 18:30:00+00:00,2023,Godoy Cruz,Union Santa Fe,439,441,0,0,1
2023-05-05 18:30:00+00:00,2023,Barracas Central,Instituto Cordoba,2432,478,3,0,2
2023-05-06 18:30:00+00:00,2023,Lanus,Huracan,446,445,1,0,2
2023-05-06 21:00:00+00:00,2023,Colon Santa Fe,Banfield,448,449,2,0,2
2023-05-06 21:00:00+00:00,2023,Belgrano Cordoba,Atletico Tucuman,440,455,1,0,2
2023-05-06 23:30:00+00:00,2023,Argentinos JRS,Independiente,458,453,2,2,1
2023-05-07 17:00:00+00:00,2023,Rosario Central,Platense,437,1064,4,0,2
2023-05-07 20:30:00+00:00,2023,River Plate,Boca Juniors,435,451,1,0,2
2023-05-08 00:00:00+00:00,2023,Estudiantes L.P.,Velez Sarsfield,450,438,2,0,2
2023-05-08 00:00:00+00:00,2023,Tigre,Newells Old Boys,452,457,2,2,1
2023-05-08 18:30:00+00:00,2023,Arsenal Sarandi,Gimnasia L.P.,459,434,0,1,0
2023-05-08 20:00:00+00:00,2023,San Lorenzo,Defensa Y Justicia,460,442,0,0,1
2023-05-08 22:30:00+00:00,2023,Racing Club,Talleres Cordoba,436,456,2,4,0
2023-05-09 00:30:00+00:00,2023,Central Cordoba de Santiago,Sarmiento Junin,1065,474,0,1,0
2023-05-12 23:00:00+00:00,2023,Huracan,Godoy Cruz,445,439,0,0,1
2023-05-13 00:30:00+00:00,2023,Atletico Tucuman,Argentinos JRS,455,458,1,2,0
2023-05-13 18:30:00+00:00,2023,Independiente,Tigre,453,452,2,1,2
2023-05-13 21:00:00+00:00,2023,Banfield,San Lorenzo,449,460,1,2,0
2023-05-13 23:30:00+00:00,2023,Newells Old Boys,Arsenal Sarandi,457,459,2,0,2
2023-05-13 23:30:00+00:00,2023,Instituto Cordoba,Colon Santa Fe,478,448,1,0,2
2023-05-14 17:00:00+00:00,2023,Defensa Y Justicia,Estudiantes L.P.,442,450,1,1,1
2023-05-14 19:30:00+00:00,2023,Platense,Racing Club,1064,436,3,0,2
2023-05-14 22:00:00+00:00,2023,Boca Juniors,Belgrano Cordoba,451,440,2,0,2
2023-05-15 00:30:00+00:00,2023,Talleres Cordoba,River Plate,456,435,2,1,2
2023-05-15 18:30:00+00:00,2023,Union Santa Fe,Sarmiento Junin,441,474,0,2,0
2023-05-15 18:30:00+00:00,2023,Barracas Central,Central Cordoba de Santiago,2432,1065,2,2,1
2023-05-15 21:00:00+00:00,2023,Gimnasia L.P.,Lanus,434,446,1,0,2
2023-05-15 23:30:00+00:00,2023,Velez Sarsfield,Rosario Central,438,437,0,0,1
2023-05-19 00:00:00+00:00,2023,Arsenal Sarandi,Independiente,459,453,2,1,2
2023-05-19 18:30:00+00:00,2023,Godoy Cruz,Gimnasia L.P.,439,434,2,0,2
2023-05-19 22:00:00+00:00,2023,Rosario Central,Defensa Y Justicia,437,442,2,1,2
2023-05-19 22:00:00+00:00,2023,Estudiantes L.P.,Banfield,450,449,1,0,2
2023-05-19 22:00:00+00:00,2023,Central Cordoba de Santiago,Union Santa Fe,1065,441,0,1,0
2023-05-20 00:30:00+00:00,2023,Argentinos JRS,Boca Juniors,458,451,0,1,0
2023-05-20 17:00:00+00:00,2023,San Lorenzo,Instituto Cordoba,460,478,2,0,2
2023-05-21 00:30:00+00:00,2023,Lanus,Newells Old Boys,446,457,1,0,2
2023-05-21 00:30:00+00:00,2023,Tigre,Atletico Tucuman,452,455,0,0,1
2023-05-21 18:30:00+00:00,2023,Belgrano Cordoba,Talleres Cordoba,440,456,1,1,1
2023-05-21 21:00:00+00:00,2023,Colon Santa Fe,Barracas Central,448,2432,1,1,1
2023-05-21 21:00:00+00:00,2023,Sarmiento Junin,Huracan,474,445,0,0,1
2023-05-21 23:30:00+00:00,2023,River Plate,Platense,435,1064,2,1,2
2023-05-27 00:30:00+00:00,2023,Atletico Tucuman,Arsenal Sarandi,455,459,1,0,2
2023-05-27 14:00:00+00:00,2023,Gimnasia L.P.,Sarmiento Junin,434,474,0,0,1
2023-05-27 21:00:00+00:00,2023,Platense,Belgrano Cordoba,1064,440,1,0,2
2023-05-27 23:30:00+00:00,2023,Independiente,Lanus,453,446,1,1,1
2023-05-28 17:00:00+00:00,2023,Barracas Central,San Lorenzo,2432,460,1,0,2
2023-05-28 19:30:00+00:00,2023,Defensa Y Justicia,Racing Club,442,436,1,1,1
2023-05-28 19:30:00+00:00,2023,Talleres Cordoba,Argentinos JRS,456,458,1,0,2
2023-05-28 22:00:00+00:00,2023,Boca Juniors,Tigre,451,452,1,0,2
2023-05-29 00:30:00+00:00,2023,Newells Old Boys,Godoy Cruz,457,439,2,0,2
2023-05-29 19:30:00+00:00,2023,Colon Santa Fe,Central Cordoba de Santiago,448,1065,2,2,1
2023-05-29 22:00:00+00:00,2023,Banfield,Rosario Central,449,437,2,0,2
2023-05-29 22:00:00+00:00,2023,Huracan,Union Santa Fe,445,441,0,1,0
2023-05-29 23:00:00+00:00,2023,Instituto Cordoba,Estudiantes L.P.,478,450,0,0,1
2023-05-30 00:30:00+00:00,2023,Velez Sarsfield,River Plate,438,435,2,2,1
2023-06-01 23:00:00+00:00,2023,Sarmiento Junin,Newells Old Boys,474,457,0,0,1
